,broad_category,Prod,national_estimate,Amputation,Fatality,Hospitalized,avg_Severity,raw_count
357,other / not elsewhere classified,DRY ICE,181,0,0,1,0.4,5
358,other / not elsewhere classified,DUCTWORK FOR HEATING OR COOLING SYSTEMS,4984,0,0,9,0.15,121
359,other / not elsewhere classified,DUNE BUGGIES,843,0,0,4,0.5,16
360,other / not elsewhere classified,EAR PROTECTION DEVICES,1970,0,0,1,0.04,46
361,other / not elsewhere classified,ELECTRIC BLANKETS OR SHEETS,388,0,0,4,0.73,11
362,other / not elsewhere classified,ELECTRIC CHRISTMAS DECORATIONS (EXCL. TR,3532,0,0,15,0.36,84
363,other / not elsewhere classified,ELECTRIC CORN POPPERS,51,0,0,0,0.0,2
364,other / not elsewhere classified,"ELECTRIC FIREPLACES, FACTORY BUILT",353,0,0,2,0.57,7
365,other / not elsewhere classified,ELECTRIC GRIDDLES,208,0,0,0,0.0,7
366,other / not elsewhere classified,ELECTRIC HEATING PADS,3708,0,0,12,0.33,72
367,other / not elsewhere classified,ELECTRIC MOTORS (SEPARATE),313,0,0,0,0.0,5
368,other / not elsewhere classified,ELECTRIC WIRE OR WIRING SYSTEMS (EXCL. P,3646,1,0,24,0.55,94
369,other / not elsewhere classified,ELECTRICAL TESTING EQUIPMENT,52,0,0,0,0.0,1
370,other / not elsewhere classified,ELEVATORS OR OTHER LIFTS (EXCL. ESCALATO,15123,1,0,64,0.36,371
371,other / not elsewhere classified,ESCALATORS,12618,0,0,60,0.34,356
372,other / not elsewhere classified,EYE PROTECTION DEVICES,8750,0,0,5,0.06,168
373,other / not elsewhere classified,FABRIC TREATMENT PRODUCTS,1385,0,0,2,0.11,38
374,other / not elsewhere classified,FABRICS (NOT PART OF FINISHED ITEM),1210,0,0,1,0.09,23
375,other / not elsewhere classified,FAUCETS OR SPIGOTS,4807,0,0,15,0.24,126
376,other / not elsewhere classified,FERTILIZERS AND OTHER CHEMICALS FOR OUTD,903,0,0,3,0.27,22
377,other / not elsewhere classified,"FERTILIZERS, NOT SPECIFIED",3335,0,0,10,0.21,96
378,other / not elsewhere classified,FILTERS,654,0,0,2,0.27,15
379,other / not elsewhere classified,FIRE ESCAPE DEVICES,1001,0,0,3,0.3,20
380,other / not elsewhere classified,FIRE EXTINGUISHERS,2111,0,0,4,0.15,52
381,other / not elsewhere classified,FIRE OR SMOKE ALARMS,1746,0,0,6,0.27,44
382,other / not elsewhere classified,FIREPLACE EQUIPMENT,513,0,1,0,0.47,17
383,other / not elsewhere classified,"FIREPLACES, NOT SPECIFIED",10498,0,0,29,0.18,326
384,other / not elsewhere classified,FIREWORKS,12126,15,1,78,0.73,308
385,other / not elsewhere classified,FLARES,52,0,0,0,0.0,1
386,other / not elsewhere classified,FLYING DISCS AND BOOMERANGS,5131,0,0,5,0.07,151
387,other / not elsewhere classified,FOOD GRINDERS,1479,4,0,4,0.89,27
388,other / not elsewhere classified,FOOD SKEWERS,690,0,0,1,0.12,17
389,other / not elsewhere classified,FOOD WARMERS,59,0,0,1,1.0,2
390,other / not elsewhere classified,FOOTLOCKERS,1016,0,0,2,0.21,19
391,other / not elsewhere classified,"FUEL OILS, NOT SPECIFIED",833,0,0,6,0.71,17
392,other / not elsewhere classified,FUEL STORAGE TANKS,4960,1,1,12,0.37,98
393,other / not elsewhere classified,"FURNACES, NOT SPECIFIED",2053,0,0,5,0.21,48
394,other / not elsewhere classified,GAS FUMES OR VAPORS OF UNKNOWN ORIGIN,2771,0,0,7,0.26,54
395,other / not elsewhere classified,GAS FURNACES,840,0,0,0,0.0,20
396,other / not elsewhere classified,"GAS, AIR OR SPRING-OPERATED GUNS",4340,0,0,9,0.15,119
397,other / not elsewhere classified,"GAS-BURNING FIREPLACES, FACTORY BUILT",402,0,0,0,0.0,8
398,other / not elsewhere classified,GASOLINE,8456,0,0,58,0.58,200
399,other / not elsewhere classified,GENERAL HOME OR ROOM INVOLVEMENT IN FIRE,21471,0,21,189,0.99,549
400,other / not elsewhere classified,GLASS TUBING OR TEST TUBES,362,0,0,1,0.29,7
401,other / not elsewhere classified,GLUE GUNS,790,0,0,1,0.07,28
402,other / not elsewhere classified,GO-CARTS,11151,3,0,33,0.27,291
403,other / not elsewhere classified,GOLF CARTS,25145,4,2,142,0.58,544
404,other / not elsewhere classified,GROCERY OR SHOPPING CARTS,27794,0,0,67,0.18,740
405,other / not elsewhere classified,"GUTTERS, DRAINPIPES, DOWNSPOUTS OR RUN-O",5454,0,0,37,0.59,125
406,other / not elsewhere classified,"HAIR GROOMING EQUIPMENT OR ACCESSORIES,",828,0,0,1,0.09,22
407,other / not elsewhere classified,HAMMOCKS,6633,0,0,16,0.18,177
408,other / not elsewhere classified,HEAT PUMPS,431,0,0,1,0.29,7
409,other / not elsewhere classified,"HEAT TAPES, ELECTRIC",163,0,0,0,0.0,7
410,other / not elsewhere classified,HEATING OR COOLING COMFORT PACKS (NONELE,1512,0,0,3,0.18,34
411,other / not elsewhere classified,"HOISTS, LIFTS, JACKS OR JACK STANDS",7824,10,0,11,0.52,120
412,other / not elsewhere classified,HOT PLATES,630,0,0,1,0.15,13
413,other / not elsewhere classified,HOT WATER,36375,0,0,138,0.28,991
414,other / not elsewhere classified,HOUSE REPAIR OR CONSTRUCTION MAT'L NEC,28337,2,0,28,0.13,484
415,other / not elsewhere classified,ICE CREAM MAKERS,160,0,0,0,0.0,3
416,other / not elsewhere classified,ICE PICKS,101,0,0,0,0.0,1
417,other / not elsewhere classified,INCINERATORS,52,0,0,0,0.0,1
418,other / not elsewhere classified,"INSECT TRAPS, POWERED",154,0,0,0,0.0,2
419,other / not elsewhere classified,JUICERS,254,1,0,0,0.44,9
420,other / not elsewhere classified,KEROSENE,116,0,0,2,2.0,2
421,other / not elsewhere classified,"KEYS, KEY RINGS OR KEY CHAINS",5038,0,0,23,0.33,141
422,other / not elsewhere classified,"KITCHEN GADGETS, NOT ELSEWHERE CLASSIFIE",21450,2,0,63,0.2,656
423,other / not elsewhere classified,KITES OR KITE STRING,185,0,0,2,0.67,6
424,other / not elsewhere classified,"KNICKKNACKS, STATUES, VASES OR URNS",11916,0,0,23,0.15,310
425,other / not elsewhere classified,KNIVES WITH REPLACEABLE BLADES,35783,3,0,14,0.06,677
426,other / not elsewhere classified,"KNIVES, NOT ELSEWHERE CLASSIFIED",313754,32,0,132,0.06,6432
427,other / not elsewhere classified,LAPIDARY EQUIPMENT,52,0,0,0,0.0,1
428,other / not elsewhere classified,LASER POINTERS,282,0,0,0,0.0,8
429,other / not elsewhere classified,LAUNDRY BASKETS,10575,0,0,31,0.27,228
430,other / not elsewhere classified,LAUNDRY HAMPERS,1711,0,0,3,0.18,34
431,other / not elsewhere classified,LEAF BLOWERS,5742,3,0,13,0.32,119
432,other / not elsewhere classified,LEVELS,204,0,0,0,0.0,5
433,other / not elsewhere classified,LINIMENTS OR RUBBING COMPOUNDS,830,0,0,2,0.11,35
434,other / not elsewhere classified,LIQUID ROOM DEODORIZERS OR FRESHENERS,1158,0,0,4,0.22,36
435,other / not elsewhere classified,LOCKERS,4582,0,0,3,0.05,128
436,other / not elsewhere classified,LOG SPLITTERS,7037,8,0,9,0.43,115
437,other / not elsewhere classified,LUGGAGE,19866,0,0,54,0.23,473
438,other / not elsewhere classified,LYE,185,0,0,2,0.8,5
439,other / not elsewhere classified,MAGAZINE RACKS OR BOOKENDS,214,0,0,0,0.0,5
440,other / not elsewhere classified,MANICURING DEVICES,37269,0,0,69,0.16,848
441,other / not elsewhere classified,MANUAL SCISSORS,3833,0,0,5,0.11,95
442,other / not elsewhere classified,MASSAGE DEVICES OR VIBRATORS,10176,0,0,45,0.41,217
443,other / not elsewhere classified,"MATCHES, NOT SPECIFIED",303,0,0,2,0.4,10
444,other / not elsewhere classified,METAL OR PLASTIC MOLDING SETS,140,0,0,0,0.0,3
445,other / not elsewhere classified,METHYL ALCOHOL (SOLVENT),253,0,0,4,1.14,7
446,other / not elsewhere classified,MIRRORS OR MIRROR GLASS,18660,1,0,24,0.1,498
447,other / not elsewhere classified,MOLDING COMPOUNDS,3567,0,0,2,0.03,128
448,other / not elsewhere classified,"MOTORIZED VEHICLES, NEC (3 OR MORE WHLS)",20450,0,0,16,0.15,215
449,other / not elsewhere classified,MOVING WALKS,568,0,0,1,0.17,12
450,other / not elsewhere classified,NAIL GUNS OR STUD DRIVERS,4277,0,0,8,0.19,84
451,other / not elsewhere classified,"NAILS, SCREWS, TACKS OR BOLTS",73608,0,0,141,0.18,1581
452,other / not elsewhere classified,NONELECTRIC BLANKETS,974,0,0,6,0.38,32
453,other / not elsewhere classified,NONELECTRIC SOLDERING EQUIPMENT,28,0,0,0,0.0,1
454,other / not elsewhere classified,OIL FURNACES,26,0,0,0,0.0,1
455,other / not elsewhere classified,OTHER SOUND RECORD/REPRO/RECV EQUIPMENT,410,0,0,2,0.5,8
456,other / not elsewhere classified,OTHER SPECIFIED PLASTIC PRODUCTS,10819,0,0,12,0.1,245
457,other / not elsewhere classified,OUTERWEAR,6973,0,0,24,0.25,193
458,other / not elsewhere classified,"PADLOCKS, CHAIN LOCKS OR OTHER LOCKS",1363,1,0,1,0.21,29
459,other / not elsewhere classified,"PAINT BRUSHES OF ROLLERS, MANUAL",1995,0,0,5,0.21,47
460,other / not elsewhere classified,"PAINT OR VARNISH REMOVERS, PAINTBRUSH CL",746,0,0,0,0.0,15
461,other / not elsewhere classified,PAINT OR VARNISH THINNERS,377,0,0,3,0.6,10
462,other / not elsewhere classified,"PAINTING EQUIPMENT, POWERED (INCL.SPRAYE",2043,0,0,7,0.33,42
463,other / not elsewhere classified,"PAINTS, VARNISHES OR SHELLACS",9532,1,0,28,0.28,216
464,other / not elsewhere classified,PAPER CUTTERS,972,1,0,0,0.2,20
465,other / not elsewhere classified,PAPER PRODUCTS,26691,0,0,79,0.19,830
466,other / not elsewhere classified,PARTY FAVORS,358,0,0,0,0.0,14
467,other / not elsewhere classified,PEDAL-POWERED ADULT VEHICLES (THREE OR M,1181,0,0,8,0.64,25
468,other / not elsewhere classified,PENS AND PENCILS,18944,0,0,50,0.17,573
469,other / not elsewhere classified,PERSONAL PROTECTION DEVICES,3985,0,0,3,0.07,84
470,other / not elsewhere classified,PET SUPPLIES,103336,2,0,214,0.21,2086
471,other / not elsewhere classified,PHONOGRAPH RECORDS,52,0,0,0,0.0,1
472,other / not elsewhere classified,PHOTOGRAPHIC CHEMICALS,26,0,0,0,0.0,1
473,other / not elsewhere classified,PHOTOGRAPHIC EQUIPMENT,3767,0,0,14,0.31,91
474,other / not elsewhere classified,"PICTURES, PICTURE FRAMES OR WALL DECORAT",10939,1,0,17,0.15,247
475,other / not elsewhere classified,PILLOWS,12217,0,2,32,0.22,371
476,other / not elsewhere classified,PINS AND NEEDLES,8767,0,0,29,0.28,208
477,other / not elsewhere classified,PIPES (EXCLUDING SMOKING PIPES),28145,0,0,43,0.14,619
478,other / not elsewhere classified,PLASTIC WRAPPING PRODUCTS,3388,0,0,6,0.13,90
479,other / not elsewhere classified,POGO STICKS,472,0,0,2,0.24,17
480,other / not elsewhere classified,POLES,53545,0,2,104,0.15,1480
481,other / not elsewhere classified,POWER JOINTERS,373,5,0,0,2.86,7
482,other / not elsewhere classified,POWER LATHES,255,1,0,0,1.33,3
483,other / not elsewhere classified,POWER LEAF MULCHERS AND GRINDERS,715,2,0,1,0.77,13
484,other / not elsewhere classified,POWER ROUTERS,1598,0,0,1,0.08,26
485,other / not elsewhere classified,POWER SANDERS,1814,3,0,1,0.4,35
486,other / not elsewhere classified,POWER SHAPERS,52,0,0,0,0.0,1
487,other / not elsewhere classified,POWER TILLERS OR CULTIVATORS,1257,0,0,2,0.21,19
488,other / not elsewhere classified,"PUBLIC EQUIPMENT, NOT ELSEWHERE CLASSIFI",11179,2,0,23,0.19,279
489,other / not elsewhere classified,"PUMPS, NOT ELSEWHERE CLASSIFIED",904,0,0,2,0.18,22
490,other / not elsewhere classified,RADIATORS (EXCLUDING VEHICLE RADIATORS),7810,0,0,32,0.27,237
491,other / not elsewhere classified,RECORD PLAYERS (SELF-CONTAINED UNITS),214,0,0,0,0.0,4
492,other / not elsewhere classified,RECORDING TAPES,59,0,0,1,1.0,2
493,other / not elsewhere classified,"REMOTE CONTROL, UNIVERSAL OR N.S.",2274,0,0,12,0.41,59
494,other / not elsewhere classified,RESIDENTIAL ALTERNATIVE ENERGY SYSTEMS,113,0,0,0,0.0,4
495,other / not elsewhere classified,RESPIRATORY PROTECTION DEVICES,232,0,0,1,0.29,7
496,other / not elsewhere classified,ROCKETRY SETS,295,0,0,0,0.0,7
497,other / not elsewhere classified,"ROOM DEODORIZERS OR FRESHENERS, NOT SPEC",482,0,0,0,0.0,12
498,other / not elsewhere classified,ROPE OR STRING,8320,1,0,17,0.19,198
499,other / not elsewhere classified,ROTISSERIES,161,0,0,1,1.0,2
500,other / not elsewhere classified,SAFES,2205,0,0,4,0.15,53
501,other / not elsewhere classified,SAFETY PINS,851,0,0,3,0.27,22
502,other / not elsewhere classified,SAUNAS,2188,0,0,3,0.12,48
503,other / not elsewhere classified,SCAFFOLDING,5328,0,0,29,0.57,102
504,other / not elsewhere classified,SCHOOL EQUIPMENT,1347,0,0,2,0.08,51
505,other / not elsewhere classified,SCHOOL LABORATORY CHEMICALS,269,0,0,0,0.0,7
506,other / not elsewhere classified,"SCISSORS, NOT SPECIFIED",13915,1,0,12,0.09,315
507,other / not elsewhere classified,SEASONAL DECORATIONS,3743,0,0,9,0.22,83
508,other / not elsewhere classified,SELF-CONTAINED OPENERS,3073,0,0,4,0.1,84
509,other / not elsewhere classified,SEWING BASKET ARTICLES,2807,0,0,5,0.12,82
510,other / not elsewhere classified,SEWING MACHINES OR ACCESSORIES,2228,0,0,3,0.13,45
511,other / not elsewhere classified,SHEETS OR PILLOWCASES,9249,0,1,36,0.39,204
512,other / not elsewhere classified,SINKS,35735,0,1,128,0.32,828
513,other / not elsewhere classified,SLEDS,14413,0,0,23,0.12,382
514,other / not elsewhere classified,SLICERS AND CHOPPERS,36888,16,0,5,0.1,710
515,other / not elsewhere classified,SNOW DISKS,46,0,0,1,2.0,1
516,other / not elsewhere classified,"SNOW THROWERS, BLOWERS",5798,1,0,14,0.35,92
517,other / not elsewhere classified,"SOLDERING EQUIPMENT, NOT SPECIFIED",239,0,0,0,0.0,4
518,other / not elsewhere classified,SOLID ROOM DEODORIZERS OR FRESHENERS,819,0,0,0,0.0,24
519,other / not elsewhere classified,"SOLVENTS, OTHER OR NOT SPECIFIED",195,0,0,0,0.0,6
520,other / not elsewhere classified,"SOUND RECORDING OR RECEIVING EQUIPMENT,",157,0,0,0,0.0,3
521,other / not elsewhere classified,"SPRAYERS, NOT ELSEWHERE CLASSIFIED",10058,1,0,34,0.38,192
522,other / not elsewhere classified,STILTS,52,0,0,0,0.0,1
523,other / not elsewhere classified,"STRAPS, NON-STRETCH, OTHER, OR NOT SPEC",2081,0,0,3,0.14,43
524,other / not elsewhere classified,STRETCH CORDS OR STRAPS,1628,0,0,3,0.18,33
525,other / not elsewhere classified,TAPE RECORDERS OR PLAYERS (SELF-CONTAINE,28,0,0,0,0.0,1
526,other / not elsewhere classified,TARPAULINS,2535,0,0,4,0.18,44
527,other / not elsewhere classified,"TELESCOPES, BINOCULARS, MICROSCOPES, MAG",191,0,0,1,0.22,9
528,other / not elsewhere classified,THERMOMETERS (EXCLUDING MEDICAL THERMOME,474,0,0,0,0.0,16
529,other / not elsewhere classified,THERMOSTATS (FOR HEATING OR COOLING SYST,683,0,0,3,0.46,13
530,other / not elsewhere classified,TOBOGGANS,157,0,0,0,0.0,2
531,other / not elsewhere classified,TOILET BOWL PRODUCTS,1760,0,0,5,0.26,38
532,other / not elsewhere classified,TOILETS,168024,2,8,1331,0.74,3701
533,other / not elsewhere classified,TOOTHPICKS OR HORS D'OEUVRES PICKS,5842,0,0,6,0.09,130
534,other / not elsewhere classified,"TORCHES, NOT SPECIFIED",1051,0,0,7,0.56,25
535,other / not elsewhere classified,TOWEL RACKS OR BARS,3559,0,0,14,0.39,71
536,other / not elsewhere classified,TOWELS OR CLOTHS,7810,0,0,23,0.24,188
537,other / not elsewhere classified,"TRACTORS, OTHER OR NOT SPECIFIED",12231,0,0,47,0.52,181
538,other / not elsewhere classified,TRAYS (EXCLUDING FOOD WARMERS),4972,0,0,17,0.28,121
539,other / not elsewhere classified,TRICYCLES,2734,0,0,2,0.04,92
540,other / not elsewhere classified,TURPENTINE,151,0,0,0,0.0,2
541,other / not elsewhere classified,"TWO-WHEELED, POWERED, OFF-ROAD VEHICLES",58193,4,0,250,0.37,1392
542,other / not elsewhere classified,UMBRELLAS,2897,0,0,1,0.03,75
543,other / not elsewhere classified,UNCATEGORIZED PRODUCT (TO BE ASSIGNED),412990,4,18,1523,0.29,10892
544,other / not elsewhere classified,UNICYCLES,807,0,0,2,0.27,15
545,other / not elsewhere classified,UTILITY VEHICLES,13368,2,0,58,0.53,232
546,other / not elsewhere classified,VAPORIZERS,77,0,0,0,0.0,2
547,other / not elsewhere classified,VENDING MACHINES,2072,0,0,8,0.36,45
548,other / not elsewhere classified,VETERINARY MEDICINES,191,0,0,2,0.8,5
549,other / not elsewhere classified,WAGONS (CHILDREN'S),3219,0,0,11,0.18,123
550,other / not elsewhere classified,WALLPAPER,239,0,0,0,0.0,4
551,other / not elsewhere classified,"WASHING MACHINES, OTHER OR NOT SPECIFIED",9885,0,0,19,0.18,207
552,other / not elsewhere classified,WATER SOFTENERS OR CONDITIONERS (APPLIAN,231,0,0,1,0.5,4
553,other / not elsewhere classified,WELDING EQUIPMENT,12658,0,0,5,0.05,204
554,other / not elsewhere classified,"WIGS, FALLS OR HAIRPIECES",815,0,0,3,0.35,17
555,other / not elsewhere classified,WINDSHIELD WIPER FLUIDS,188,0,0,0,0.0,5
556,other / not elsewhere classified,"WIRE, NOT SPECIFIED",9973,0,0,23,0.23,204
557,other / not elsewhere classified,"WOOD BURNING FIREPLACES, FACTORY BUILT",318,0,0,0,0.0,5
558,other / not elsewhere classified,WOODEN MATCHES,158,0,0,0,0.0,7
559,other / not elsewhere classified,WRINGER WASHING MACHINES,52,0,0,0,0.0,1
560,outdoor and garden equipment,"DECORATIVE YARD EQUIP,EXCL WATER FEATURE",14688,0,1,66,0.42,330
561,outdoor and garden equipment,FENCES OR FENCE POSTS,105305,6,3,259,0.22,2629
562,outdoor and garden equipment,FIRE SPRINKLERS,229,0,0,1,0.33,6
563,outdoor and garden equipment,"GARDEN HOSES, NOZZLES OR SPRINKLERS",19050,0,0,48,0.26,364
564,outdoor and garden equipment,GARDEN TRACTORS,789,0,0,3,0.46,13
565,outdoor and garden equipment,GREENHOUSE OR GARDENING SUPPLIES,21708,1,0,59,0.25,485
566,outdoor and garden equipment,HAIR CLIPPERS AND TRIMMERS,2347,0,0,1,0.04,54
567,outdoor and garden equipment,"LAWN TRIMMERS OR EDGERS, POWERED (EXC BR",14117,1,0,21,0.18,255
568,outdoor and garden equipment,MANUAL HEDGE TRIMMERS,1260,0,0,1,0.09,22
569,outdoor and garden equipment,MANUAL LAWN TRIMMERS OR EDGERS,101,0,0,0,0.0,1
570,outdoor and garden equipment,POWER HEDGE TRIMMERS,8181,7,0,7,0.26,160
571,outdoor and garden equipment,WHEELBARROWS OR LAWN CARTS,4149,0,0,3,0.09,70
572,packaging and containers,AEROSOL CONTAINERS,2185,0,0,16,0.68,47
573,packaging and containers,"BAGS, NOT ELSEWHERE CLASSIFIED",52908,0,1,122,0.21,1186
574,packaging and containers,BOTTLE OPENERS,8,0,0,0,0.0,1
575,packaging and containers,"BOTTLES OR JARS, NOT SPECIFIED",37338,0,0,144,0.25,1161
576,packaging and containers,"CAN OPENERS, NOT SPECIFIED",2053,0,0,1,0.05,43
577,packaging and containers,"CANDLES, CANDLESTICKS AND OTHER CANDLE H",6845,0,0,18,0.19,188
578,packaging and containers,CANNING JARS OR LIDS,1778,0,0,3,0.16,38
579,packaging and containers,CARDBOARD PRODUCTS,19160,0,0,24,0.11,436
580,packaging and containers,CONTAINERS WITH KEY OPENERS,263,0,0,0,0.0,5
581,packaging and containers,"CONTAINERS, NOT SPECIFIED",129087,0,1,212,0.15,2826
582,packaging and containers,ELECTRIC CAN OPENERS,7,0,0,0,0.0,1
583,packaging and containers,GASOLINE CANS,1313,0,0,10,0.83,24
584,packaging and containers,GLASS ALCOHOLIC BEVERAGE BOTTLES,7609,0,0,10,0.12,163
585,packaging and containers,"GLASS BOTTLES OR JARS, NOT SPECIFIED",17698,0,0,15,0.07,447
586,packaging and containers,GLASS SOFT DRINK BOTTLES,1076,0,0,2,0.16,25
587,packaging and containers,LUBRICANTS,1500,0,0,4,0.26,31
588,packaging and containers,METAL CONTAINERS,47150,0,0,37,0.07,1103
589,packaging and containers,MUSIC BOXES OR CHIMES,175,0,0,0,0.0,6
590,packaging and containers,NONELECTRIC CAN OPENERS,133,0,0,0,0.0,3
591,packaging and containers,NONGLASS BOTTLES OR JARS,13868,0,0,56,0.29,388
592,packaging and containers,OTHER CONTAINERS,9157,0,0,16,0.15,216
593,packaging and containers,OTHER GLASS BOTTLES OR JARS,4311,0,0,6,0.12,97
594,packaging and containers,PAPER BAGS,390,0,0,2,0.36,11
595,packaging and containers,PLASTIC BAGS,8714,0,0,25,0.25,202
596,packaging and containers,PLASTIC CONTAINERS (RIGID OR SEMI-RIGID),10685,0,0,10,0.08,236
597,packaging and containers,PRESSURIZED CONTAINERS (NONAEROSOL),1770,0,0,2,0.13,31
598,packaging and containers,SLEEPING BAGS,265,0,0,1,0.33,6
599,packaging and containers,"WASTE CONTAINERS, TRASH BASKETS OR REFUS",59739,2,0,186,0.29,1317
600,packaging and containers,WOODEN CONTAINERS,11990,0,0,13,0.11,236
601,personal care and cosmetics,"COMBS OR HAIRBRUSHES, UNPOWERED",4216,0,0,7,0.12,115
602,personal care and cosmetics,"COMBS, NOT SPECIFIED",561,0,0,2,0.36,11
603,personal care and cosmetics,"COSMETICS, INCL FACIAL & EYE MAKE-UP DEO",1687,0,0,1,0.04,53
604,personal care and cosmetics,DYES (NONCOSMETIC),51,0,0,0,0.0,2
605,personal care and cosmetics,ELECTRIC COMBS,110,0,0,0,0.0,4
606,personal care and cosmetics,ELECTRIC RAZORS OR SHAVERS,904,0,0,1,0.11,19
607,personal care and cosmetics,INTERNAL COMBUSTION ENGINES (NONVEHICULA,227,0,0,1,0.4,5
608,personal care and cosmetics,NONELECTRIC RAZORS OR SHAVERS,28314,0,0,38,0.12,654
609,personal care and cosmetics,ORAL HYGIENE PRODUCTS,109,0,0,0,0.0,6
610,personal care and cosmetics,"RAZORS OR SHAVERS, NOT SPECIFIED",19739,0,0,25,0.12,417
611,sports and recreation equipment,ABOVE-GROUND SWIMMING POOLS,981,0,0,4,0.38,21
612,sports and recreation equipment,AMUSEMENT ATTRACTIONS (INCLUDING RIDES),24815,0,0,46,0.1,903
613,sports and recreation equipment,"ASHTRAYS, NOT ELEC/BATTERY, OR NOS",470,0,0,2,0.33,12
614,sports and recreation equipment,"BALL SPORTS (ACTIVITY, APPAREL OR EQUIPM",6007,0,0,1,0.02,130
615,sports and recreation equipment,"BALLS, OTHER OR NOT SPECIFIED",23445,0,1,33,0.09,801
616,sports and recreation equipment,"BASEBALL (ACTIVITY, APPAREL OR EQUIPMENT",91831,1,0,73,0.05,2737
617,sports and recreation equipment,"BASKETBALL (ACTIVITY, APPAREL OR EQUIP.)",347201,1,4,237,0.05,9982
618,sports and recreation equipment,BATH OR FACIAL BRUSHES,517,0,0,2,0.24,17
619,sports and recreation equipment,"BATHTUB OR SHOWER ENCLOSURES, NOT SPECIF",4497,0,0,19,0.4,96
620,sports and recreation equipment,BATHTUBS OR SHOWERS,351418,0,19,1677,0.43,8177
621,sports and recreation equipment,BATONS,159,0,0,0,0.0,8
622,sports and recreation equipment,BATTERIES,19595,0,0,108,0.35,611
623,sports and recreation equipment,BATTERY CHARGERS,4122,0,0,8,0.14,111
624,sports and recreation equipment,BICYCLES AND ACCESSORIES (EXCL MOUNTAIN,398533,12,15,1390,0.29,10037
625,sports and recreation equipment,"BILLIARDS OR POOL (ACTIVITY, APPAREL OR",3082,0,0,8,0.24,67
626,sports and recreation equipment,BUILT-IN SWIMMING POOLS,16184,0,2,48,0.26,424
627,sports and recreation equipment,"CAMPING EQUIP (EXCL TRAILERS, LIGHTING E",6336,0,0,12,0.18,134
628,sports and recreation equipment,"CISTERNS, CESSPOOLS OR SEPTIC TANKS",84,0,0,1,0.67,3
629,sports and recreation equipment,CLACKER BALLS,112,0,0,0,0.0,2
630,sports and recreation equipment,"CLOCKS, ELECTRIC OR BATTERY OPERATED",157,0,0,0,0.0,5
631,sports and recreation equipment,"CLOCKS, NOT ELEC/BATTERY, OR NOS",2369,0,0,10,0.38,52
632,sports and recreation equipment,ELECTRIC FRYING PANS AND SKILLETS,629,0,0,1,0.17,12
633,sports and recreation equipment,ELECTRIC OR BATTERY-POWERED KNIVES,236,0,0,0,0.0,3
634,sports and recreation equipment,"EXERCISE (ACTIVITY OR APPAREL, W/O EQUIP",354045,0,8,995,0.25,8315
635,sports and recreation equipment,EXERCISE EQUIPMENT,75215,4,4,213,0.25,1894
636,sports and recreation equipment,"FISHING (ACTIVITY, APPAREL OR EQUIPMENT)",63979,0,0,73,0.12,1196
637,sports and recreation equipment,FLASHLIGHTS OR BATTERY-POWERED LANTERNS,1577,0,0,3,0.14,42
638,sports and recreation equipment,"FOOTBALL (ACTIVITY, APPAREL OR EQUIP.)",304801,2,0,383,0.08,9612
639,sports and recreation equipment,GLASS BATHTUB OR SHOWER ENCLOSURES,3871,0,0,7,0.15,94
640,sports and recreation equipment,"GYMNASTICS (ACTIVITY, APPAREL OR EQUIP.)",33217,0,0,71,0.13,1107
641,sports and recreation equipment,"HANDBALL (ACTIVITY, APPAREL OR EQUIPMENT",1595,0,0,1,0.05,42
642,sports and recreation equipment,"MINIBIKES, POWERED",5218,0,0,19,0.31,121
643,sports and recreation equipment,MONKEY BARS OR OTHER PLAYGROUND CLIMBING,61325,0,0,242,0.22,2204
644,sports and recreation equipment,MOUNTAIN OR ALL-TERRAIN BICYCLES AND AC,17898,0,0,39,0.24,327
645,sports and recreation equipment,"MUSICAL INSTR, NOT ELEC/BATTERY, OR NOS",9361,0,0,10,0.08,249
646,sports and recreation equipment,"MUSICAL INSTRUMENTS, ELECTRIC OR BATTERY",960,0,0,0,0.0,22
647,sports and recreation equipment,NONGLASS BATHTUB OR SHOWER ENCLOSURES,260,0,0,2,0.67,6
648,sports and recreation equipment,"OTHER BALL SPORTS (ACTIVITY, APPAREL OR",55276,0,3,92,0.15,1412
649,sports and recreation equipment,OTHER PLAYGROUND EQUIPMENT,20504,0,0,42,0.11,778
650,sports and recreation equipment,"PLAYGROUND EQUIPMENT, NOT SPECIFIED",41814,1,0,93,0.12,1637
651,sports and recreation equipment,"SCALES, ELECTRIC OR BATTERY OPERATED. EX",528,0,0,4,0.73,11
652,sports and recreation equipment,"SCALES, NOT ELEC/BATTERY, OR NOS",2391,0,0,14,0.55,51
653,sports and recreation equipment,SKATEBOARDS,58225,0,0,96,0.13,1502
654,sports and recreation equipment,SLIDES OR SLIDING BOARDS,41540,0,0,93,0.11,1636
655,sports and recreation equipment,"SNOW SKIING (ACTIVITY, APPAREL OR EQUIPM",50419,0,2,113,0.28,880
656,sports and recreation equipment,"SNOWBOARDING (ACTIVITY, APPAREL, EQUIP.)",33391,0,0,27,0.09,633
657,sports and recreation equipment,"SOFTBALL (ACTIVITY, APPAREL OR EQUIPMENT",60621,0,0,44,0.06,1537
658,sports and recreation equipment,"SPORTS OR RECREATIONAL ACTIVITY, N.E.C.",61163,2,0,93,0.1,1959
