,broad_category,Prod,national_estimate,avg_Severity
568,outdoor and garden equipment,MANUAL HEDGE TRIMMERS,1260,0.09
569,outdoor and garden equipment,MANUAL LAWN TRIMMERS OR EDGERS,101,0.0
570,outdoor and garden equipment,POWER HEDGE TRIMMERS,8181,0.26
571,outdoor and garden equipment,WHEELBARROWS OR LAWN CARTS,4149,0.09
572,packaging and containers,AEROSOL CONTAINERS,2185,0.68
573,packaging and containers,"BAGS, NOT ELSEWHERE CLASSIFIED",52908,0.21
574,packaging and containers,BOTTLE OPENERS,8,0.0
575,packaging and containers,"BOTTLES OR JARS, NOT SPECIFIED",37338,0.25
576,packaging and containers,"CAN OPENERS, NOT SPECIFIED",2053,0.05
577,packaging and containers,"CANDLES, CANDLESTICKS AND OTHER CANDLE H",6845,0.19
578,packaging and containers,CANNING JARS OR LIDS,1778,0.16
579,packaging and containers,CARDBOARD PRODUCTS,19160,0.11
580,packaging and containers,CONTAINERS WITH KEY OPENERS,263,0.0
581,packaging and containers,"CONTAINERS, NOT SPECIFIED",129087,0.15
582,packaging and containers,ELECTRIC CAN OPENERS,7,0.0
583,packaging and containers,GASOLINE CANS,1313,0.83
584,packaging and containers,GLASS ALCOHOLIC BEVERAGE BOTTLES,7609,0.12
585,packaging and containers,"GLASS BOTTLES OR JARS, NOT SPECIFIED",17698,0.07
586,packaging and containers,GLASS SOFT DRINK BOTTLES,1076,0.16
587,packaging and containers,LUBRICANTS,1500,0.26
588,packaging and containers,METAL CONTAINERS,47150,0.07
589,packaging and containers,MUSIC BOXES OR CHIMES,175,0.0
590,packaging and containers,NONELECTRIC CAN OPENERS,133,0.0
591,packaging and containers,NONGLASS BOTTLES OR JARS,13868,0.29
592,packaging and containers,OTHER CONTAINERS,9157,0.15
593,packaging and containers,OTHER GLASS BOTTLES OR JARS,4311,0.12
594,packaging and containers,PAPER BAGS,390,0.36
595,packaging and containers,PLASTIC BAGS,8714,0.25
596,packaging and containers,PLASTIC CONTAINERS (RIGID OR SEMI-RIGID),10685,0.08
597,packaging and containers,PRESSURIZED CONTAINERS (NONAEROSOL),1770,0.13
598,packaging and containers,SLEEPING BAGS,265,0.33
599,packaging and containers,"WASTE CONTAINERS, TRASH BASKETS OR REFUS",59739,0.29
600,packaging and containers,WOODEN CONTAINERS,11990,0.11
601,personal care and cosmetics,"COMBS OR HAIRBRUSHES, UNPOWERED",4216,0.12
602,personal care and cosmetics,"COMBS, NOT SPECIFIED",561,0.36
603,personal care and cosmetics,"COSMETICS, INCL FACIAL & EYE MAKE-UP DEO",1687,0.04
604,personal care and cosmetics,DYES (NONCOSMETIC),51,0.0
605,personal care and cosmetics,ELECTRIC COMBS,110,0.0
606,personal care and cosmetics,ELECTRIC RAZORS OR SHAVERS,904,0.11
607,personal care and cosmetics,INTERNAL COMBUSTION ENGINES (NONVEHICULA,227,0.4
608,personal care and cosmetics,NONELECTRIC RAZORS OR SHAVERS,28314,0.12
609,personal care and cosmetics,ORAL HYGIENE PRODUCTS,109,0.0
610,personal care and cosmetics,"RAZORS OR SHAVERS, NOT SPECIFIED",19739,0.12
611,sports and recreation equipment,ABOVE-GROUND SWIMMING POOLS,981,0.38
612,sports and recreation equipment,AMUSEMENT ATTRACTIONS (INCLUDING RIDES),24815,0.1
613,sports and recreation equipment,"ASHTRAYS, NOT ELEC/BATTERY, OR NOS",470,0.33
614,sports and recreation equipment,"BALL SPORTS (ACTIVITY, APPAREL OR EQUIPM",6007,0.02
615,sports and recreation equipment,"BALLS, OTHER OR NOT SPECIFIED",23445,0.09
616,sports and recreation equipment,"BASEBALL (ACTIVITY, APPAREL OR EQUIPMENT",91831,0.05
617,sports and recreation equipment,"BASKETBALL (ACTIVITY, APPAREL OR EQUIP.)",347201,0.05
618,sports and recreation equipment,BATH OR FACIAL BRUSHES,517,0.24
619,sports and recreation equipment,"BATHTUB OR SHOWER ENCLOSURES, NOT SPECIF",4497,0.4
620,sports and recreation equipment,BATHTUBS OR SHOWERS,351418,0.43
621,sports and recreation equipment,BATONS,159,0.0
622,sports and recreation equipment,BATTERIES,19595,0.35
623,sports and recreation equipment,BATTERY CHARGERS,4122,0.14
624,sports and recreation equipment,BICYCLES AND ACCESSORIES (EXCL MOUNTAIN,398533,0.29
625,sports and recreation equipment,"BILLIARDS OR POOL (ACTIVITY, APPAREL OR",3082,0.24
626,sports and recreation equipment,BUILT-IN SWIMMING POOLS,16184,0.26
627,sports and recreation equipment,"CAMPING EQUIP (EXCL TRAILERS, LIGHTING E",6336,0.18
628,sports and recreation equipment,"CISTERNS, CESSPOOLS OR SEPTIC TANKS",84,0.67
629,sports and recreation equipment,CLACKER BALLS,112,0.0
630,sports and recreation equipment,"CLOCKS, ELECTRIC OR BATTERY OPERATED",157,0.0
631,sports and recreation equipment,"CLOCKS, NOT ELEC/BATTERY, OR NOS",2369,0.38
632,sports and recreation equipment,ELECTRIC FRYING PANS AND SKILLETS,629,0.17
633,sports and recreation equipment,ELECTRIC OR BATTERY-POWERED KNIVES,236,0.0
634,sports and recreation equipment,"EXERCISE (ACTIVITY OR APPAREL, W/O EQUIP",354045,0.25
635,sports and recreation equipment,EXERCISE EQUIPMENT,75215,0.25
636,sports and recreation equipment,"FISHING (ACTIVITY, APPAREL OR EQUIPMENT)",63979,0.12
637,sports and recreation equipment,FLASHLIGHTS OR BATTERY-POWERED LANTERNS,1577,0.14
638,sports and recreation equipment,"FOOTBALL (ACTIVITY, APPAREL OR EQUIP.)",304801,0.08
639,sports and recreation equipment,GLASS BATHTUB OR SHOWER ENCLOSURES,3871,0.15
640,sports and recreation equipment,"GYMNASTICS (ACTIVITY, APPAREL OR EQUIP.)",33217,0.13
641,sports and recreation equipment,"HANDBALL (ACTIVITY, APPAREL OR EQUIPMENT",1595,0.05
642,sports and recreation equipment,"MINIBIKES, POWERED",5218,0.31
643,sports and recreation equipment,MONKEY BARS OR OTHER PLAYGROUND CLIMBING,61325,0.22
644,sports and recreation equipment,MOUNTAIN OR ALL-TERRAIN BICYCLES AND AC,17898,0.24
645,sports and recreation equipment,"MUSICAL INSTR, NOT ELEC/BATTERY, OR NOS",9361,0.08
646,sports and recreation equipment,"MUSICAL INSTRUMENTS, ELECTRIC OR BATTERY",960,0.0
647,sports and recreation equipment,NONGLASS BATHTUB OR SHOWER ENCLOSURES,260,0.67
648,sports and recreation equipment,"OTHER BALL SPORTS (ACTIVITY, APPAREL OR",55276,0.15
649,sports and recreation equipment,OTHER PLAYGROUND EQUIPMENT,20504,0.11
650,sports and recreation equipment,"PLAYGROUND EQUIPMENT, NOT SPECIFIED",41814,0.12
651,sports and recreation equipment,"SCALES, ELECTRIC OR BATTERY OPERATED. EX",528,0.73
652,sports and recreation equipment,"SCALES, NOT ELEC/BATTERY, OR NOS",2391,0.55
653,sports and recreation equipment,SKATEBOARDS,58225,0.13
654,sports and recreation equipment,SLIDES OR SLIDING BOARDS,41540,0.11
655,sports and recreation equipment,"SNOW SKIING (ACTIVITY, APPAREL OR EQUIPM",50419,0.28
656,sports and recreation equipment,"SNOWBOARDING (ACTIVITY, APPAREL, EQUIP.)",33391,0.09
657,sports and recreation equipment,"SOFTBALL (ACTIVITY, APPAREL OR EQUIPMENT",60621,0.06
658,sports and recreation equipment,"SPORTS OR RECREATIONAL ACTIVITY, N.E.C.",61163,0.1
659,sports and recreation equipment,"SQUASH, RACQUET BALL OR PADDLE BALL",2471,0.08
660,sports and recreation equipment,"SURFING (ACTIVITY, APPAREL OR EQUIPMENT)",7164,0.17
661,sports and recreation equipment,"SWIMMING (ACTIVITY, APPAREL OR EQUIPMENT",83905,0.1
662,sports and recreation equipment,SWIMMING POOL CHEMICALS,2940,0.03
663,sports and recreation equipment,SWIMMING POOL EQUIPMENT,5237,0.22
664,sports and recreation equipment,SWIMMING POOL SLIDES,703,0.15
665,sports and recreation equipment,"SWIMMING POOLS, NOT SPECIFIED",59108,0.26
666,sports and recreation equipment,SWINGS OR SWING SETS,48684,0.11
667,sports and recreation equipment,TAPES (WITH ADHESIVE SURFACES),2483,0.17
668,sports and recreation equipment,"TETHERBALL (ACTIVITY, APPAREL OR EQUIPME",760,0.08
669,sports and recreation equipment,TRAMPOLINES,112930,0.12
670,sports and recreation equipment,TREE STANDS (HUNTING),4614,0.74
671,sports and recreation equipment,"VOLLEYBALL (ACTIVITY, APPAREL OR EQUIP.)",66041,0.04
672,sports and recreation equipment,"WATER SKIING (ACTIVITY, APPAREL OR EQUIP",2268,0.08
673,sports and recreation equipment,"WATER SLIDES, BACKYARD/HOME (NOT SWIMMIN",5880,0.1
674,sports and recreation equipment,"WATER SLIDES, NOT ELSEWHERE CLASSIFIED",6119,0.07
675,sports and recreation equipment,"WATER SLIDES, PUBLIC (STATIONARY AMUSEME",5574,0.1
676,sports and recreation equipment,"WEIGHT LIFTING (ACTIVITY, APPAREL OR EQU",125959,0.11
677,sports and recreation equipment,"WHIRLPOOLS, HOT TUBS OR HOME SPAS",8951,0.3
678,tools and workshop equipment,AIR COMPRESSORS (SEPARATE),2396,0.3
679,tools and workshop equipment,AUTOMOTIVE TOOLS OR ACCESSORIES,4427,0.17
680,tools and workshop equipment,BAND SAWS,1910,0.45
681,tools and workshop equipment,BARSTOOLS OR KITCHEN STOOLS,16644,0.29
682,tools and workshop equipment,CHAIN SAWS,27467,0.19
683,tools and workshop equipment,"DRILLS, NOT SPECIFIED",11012,0.16
684,tools and workshop equipment,EXTENSION OR STRAIGHT LADDERS,1914,0.48
685,tools and workshop equipment,HACKSAWS,446,0.0
686,tools and workshop equipment,HAMMERS,20502,0.08
687,tools and workshop equipment,HAND LAWN MOWERS,1498,0.38
688,tools and workshop equipment,HAND SAWS,2622,0.22
689,tools and workshop equipment,HEAVY-DUTY WORKSHOP STAPLERS,1149,0.08
690,tools and workshop equipment,JIGSAWS,558,0.67
691,tools and workshop equipment,"LADDERS, OTHER OR NOT SPECIFIED",138218,0.53
692,tools and workshop equipment,"LAWN MOWERS, NOT SPECIFIED",49345,0.47
693,tools and workshop equipment,MANUAL DRILLS,109,0.0
694,tools and workshop equipment,MANUAL FILING OR SANDING TOOLS,1279,0.08
695,tools and workshop equipment,"MANUAL PRUNING OR TRIMMING EQUIPMENT, NO",1771,0.37
696,tools and workshop equipment,MANUAL SNOW OR ICE REMOVAL TOOLS,27549,0.29
697,tools and workshop equipment,"MANUAL WORKSHOP GRINDERS, BUFFERS OR POL",1716,0.18
698,tools and workshop equipment,OTHER MANUAL PRUNING OR TRIMMING EQUIPME,669,0.0
699,tools and workshop equipment,OTHER MANUAL WORKSHOP TOOLS,6870,0.07
700,tools and workshop equipment,OTHER POWER GARDEN TOOLS,216,0.67
701,tools and workshop equipment,OTHER POWER PRUNING OR TRIMMING EQUIPMEN,290,1.0
702,tools and workshop equipment,OTHER UNPOWERED GARDEN TOOLS,25074,0.21
703,tools and workshop equipment,"PLIERS, WIRE CUTTERS OR WRENCHES",10041,0.05
704,tools and workshop equipment,"POWER DRILLS OR ACCESSORIES, NOT SPECIFI",6777,0.11
705,tools and workshop equipment,"POWER LAWN MOWERS, NOT SPECIFIED",9248,0.73
706,tools and workshop equipment,"POWER PRUNING OR TRIMMING EQUIPMENT, NOT",772,0.5
707,tools and workshop equipment,"POWER SAWS, OTHER OR NOT SPECIFIED",13929,0.59
708,tools and workshop equipment,"POWER WORKSHOP GRINDERS, BUFFERS OR POLI",16729,0.09
709,tools and workshop equipment,"PRUNING OR TRIMMING EQUIPMENT, NOT SPECI",20245,0.38
710,tools and workshop equipment,RADIAL ARM SAWS,28,0.0
711,tools and workshop equipment,RIDING POWER LAWN MOWERS,14396,0.59
712,tools and workshop equipment,ROTARY POWER LAWN MOWERS,1309,0.78
713,tools and workshop equipment,SABRE SAWS,1650,0.0
714,tools and workshop equipment,"SAWS, NOT SPECIFIED",16722,0.36
715,tools and workshop equipment,SCREWDRIVERS,4707,0.26
716,tools and workshop equipment,SEE-SAWS OR TEETER BOARDS,2787,0.06
717,tools and workshop equipment,STATIONARY POWER DRILLS AND ACCESSORIES,362,0.0
718,tools and workshop equipment,STEP STOOLS,13904,0.25
719,tools and workshop equipment,STEPLADDERS,10808,0.46
720,tools and workshop equipment,"STOOLS, OTHER OR NOT SPECIFIED",29402,0.29
721,tools and workshop equipment,TOOL SHEDS,6822,0.38
722,tools and workshop equipment,TOOLBOXES OR TOOL KITS,5121,0.16
723,tools and workshop equipment,"TOOLS, NOT SPECIFIED",38915,0.26
724,tools and workshop equipment,VISES OR WORKSHOP CLAMPS,746,0.0
725,tools and workshop equipment,WORKSHOP COMPOUNDS OR CHEMICALS,490,0.43
726,tools and workshop equipment,WORKSHOP FURNISHINGS,900,0.21
727,tools and workshop equipment,"WORKSHOP GRINDERS, BUFFERS OR POLISHERS,",17877,0.06
728,toys and children's products,BALLOONS (TOY),4349,0.07
729,toys and children's products,"BLOCKS, STACKING TOYS OR PULL TOYS",2026,0.14
730,toys and children's products,BUILDING SETS,9539,0.16
731,toys and children's products,COMPUTERS (EQUIPMENT & ELECTRONIC GAMES),33342,0.12
732,toys and children's products,DOLL HOUSES AND OTHER PLAY SCENES,992,0.11
733,toys and children's products,"DOLLS, PLUSH TOYS, AND ACTION FIGURES",4614,0.05
734,toys and children's products,FLOTATION TOYS (EXCL. OFFICIAL LIFE SAVI,1743,0.17
735,toys and children's products,GAMES OR GAME PARTS (EXCL MARBLES & COMP,8994,0.25
736,toys and children's products,MARBLES,2978,0.15
737,toys and children's products,"NONWHEELED RIDING TOYS, UNPOWERED",1044,0.0
738,toys and children's products,OTHER TOY GUNS,955,0.23
739,toys and children's products,OTHER TOY WEAPONS (NONPROJECTILE),1293,0.05
740,toys and children's products,OTHER TOY WEAPONS (PROJECTILE),130,0.0
741,toys and children's products,POWERED RIDING TOYS,1840,0.05
742,toys and children's products,"PRETEND ELECTRONICS,TOOLS,HSEWRS&APPLIAN",3511,0.1
743,toys and children's products,"RIDING TOYS, NOT SPECIFIED",2066,0.1
744,toys and children's products,SLINGSHOTS OR SLING-PROPELLED TOYS,92,0.5
745,toys and children's products,SQUEEZE OR SQUEAKER TOYS,297,0.0
746,toys and children's products,TOY BOWS OR ARROWS,454,0.0
747,toys and children's products,"TOY CAPS, CAP TOYS OR CAP GUNS",127,0.0
748,toys and children's products,TOY GUNS WITH PROJECTILES,4557,0.04
749,toys and children's products,"TOY GUNS, NOT SPECIFIED",1512,0.0
750,toys and children's products,TOY MAKE-UP KITS OR COSMETICS,123,0.0
751,toys and children's products,TOY MUSICAL INSTRUMENTS,614,0.0
752,toys and children's products,TOY SPORTS EQUIPMENT,1039,0.05
753,toys and children's products,TOY VEHICLES (EXCLUDING RIDING TOYS),10580,0.07
754,toys and children's products,"TOYS, NOT ELSEWHERE CLASSIFIED",13059,0.05
755,toys and children's products,"TOYS, NOT SPECIFIED",47945,0.08
756,toys and children's products,TREEHOUSES OR PLAYHOUSES,1672,0.16
757,toys and children's products,WATER TOYS,700,0.17
758,toys and children's products,"WHEELED RIDING TOYS, UNPOWERED",1566,0.1
